Num,PlanCode,Channel,FA,Unknown,Gender,IssAge,PremMode,WL,PP,Unknown
10000103,57,FC,183000000,0,2,38,12,999,0,1
10000104,57,FC,180000000,0,2,38,12,999,0,1
10000105,57,FC,180000000,0,2,46,12,999,0,1
10000106,57,FC,180000000,0,2,46,12,999,0,1
10000107,57,FC,175000000,0,2,39,12,999,0,1
10000108,57,FC,170000000,0,1,23,12,999,0,1
10000109,57,FC,170000000,0,1,23,12,999,0,1
10000110,57,FC,170000000,0,2,31,12,999,0,1
10000111,57,TFC,170000000,0,2,43,12,999,0,1
10000112,57,TFC,170000000,0,2,47,12,999,0,1
10000113,57,FC,165000000,0,2,48,12,999,0,1
10000114,57,FC,165000000,0,2,48,12,999,0,1
10000115,57,FC,165000000,0,2,48,12,999,0,1
10000116,57,FC,165000000,0,2,48,12,999,0,1
10000117,57,TFC,163000000,0,2,41,12,999,0,1
10000118,57,FC,163000000,0,2,49,12,999,0,1
10000119,57,FC,162000000,0,1,38,12,999,0,1
10000120,57,FC,160000000,0,1,25,12,999,0,1
10000121,57,FC,160000000,0,2,33,12,999,0,1
10000122,57,FC,158000000,0,1,35,12,999,0,1
10000123,57,FC,157000000,0,2,31,12,999,0,1
10000124,57,FC,156000000,0,1,49,12,999,0,1
10000125,57,FC,156000000,0,2,50,12,999,0,1
10000126,57,TFC,155000000,0,1,31,12,999,0,1
10000127,57,FC,155000000,0,1,43,12,999,0,1
10000128,57,FC,154000000,0,2,20,12,999,0,1
10000129,57,FC,154000000,0,2,36,12,999,0,1
10000130,57,FC,152000000,0,2,34,12,999,0,1
10000131,57,FC,150000000,0,1,28,12,999,0,1
10000132,57,FC,150000000,0,2,34,12,999,0,1
10000133,57,FC,150000000,0,2,35,12,999,0,1
10000134,57,FC,150000000,0,1,44,12,999,0,1
10000135,57,FC,150000000,0,1,47,12,999,0,1
10000136,57,FC,150000000,0,2,52,12,999,0,1
10000137,57,TFC,150000000,0,2,52,12,999,0,1
10000138,57,FC,150000000,0,2,53,12,999,0,1
10000139,57,FC,150000000,0,2,53,12,999,0,1
10000140,57,FC,148000000,0,2,58,12,999,0,1
10000141,57,FC,147000000,0,2,35,12,999,0,1
10000142,57,FC,147000000,0,2,35,12,999,0,1
10000143,57,FC,144000000,0,2,45,12,999,0,1
10000144,57,FC,143000000,0,2,31,12,999,0,1
10000145,57,FC,143000000,0,2,35,12,999,0,1
10000146,57,AM,142000000,0,1,29,12,999,0,1
10000147,57,FC,140000000,0,1,16,12,999,0,1
10000148,57,FC,140000000,0,2,23,12,999,0,1
10000149,57,FC,140000000,0,2,24,12,999,0,1
10000150,57,FC,140000000,0,2,46,12,999,0,1
10000151,57,FC,140000000,0,2,54,12,999,0,1
10000152,57,FC,140000000,0,2,55,12,999,0,1
10000153,57,FC,140000000,0,1,56,12,999,0,1
10000154,57,FC,139000000,0,2,54,12,999,0,1
10000155,57,FC,137000000,0,1,44,12,999,0,1
10000156,57,FC,137000000,0,2,47,12,999,0,1
10000157,57,FC,136000000,0,2,47,12,999,0,1
10000158,57,FC,135000000,0,2,39,12,999,0,1
10000159,57,FC,135000000,0,1,47,12,999,0,1
10000160,57,FC,133000000,0,2,48,12,999,0,1
10000161,57,FC,132000000,0,1,41,12,999,0,1
10000162,57,FC,131000000,0,1,18,12,999,0,1
10000163,57,FC,131000000,0,2,44,12,999,0,1
10000164,57,FC,131000000,0,1,49,12,999,0,1
10000165,57,FC,130000000,0,2,16,12,999,0,1
10000166,57,FC,130000000,0,2,26,12,999,0,1
10000167,57,FC,130000000,0,2,37,12,999,0,1
10000168,57,FC,130000000,0,2,42,12,999,0,1
10000169,57,FC,130000000,0,1,44,12,999,0,1
10000170,57,FC,130000000,0,2,49,12,999,0,1
10000171,57,AM,130000000,0,2,49,12,999,0,1
10000172,57,FC,129000000,0,2,49,12,999,0,1
10000173,57,FC,127000000,0,2,27,12,999,0,1
10000174,57,FC,127000000,0,2,45,12,999,0,1
10000175,57,FC,126000000,0,2,34,12,999,0,1
10000176,57,FC,126000000,0,2,45,12,999,0,1
10000177,57,FC,125000000,0,2,38,12,999,0,1
10000178,57,FC,125000000,0,2,45,12,999,0,1
10000179,57,FC,122000000,0,2,49,12,999,0,1
10000180,57,FC,121000000,0,1,33,12,999,0,1
10000181,57,FC,121000000,0,2,40,12,999,0,1
10000182,57,FC,120000000,0,2,31,12,999,0,1
10000183,57,FC,120000000,0,2,37,12,999,0,1
10000184,57,FC,120000000,0,2,42,12,999,0,1
10000185,57,FC,120000000,0,2,42,12,999,0,1
10000186,57,FC,120000000,0,2,42,12,999,0,1
10000187,57,FC,120000000,0,2,46,12,999,0,1
10000188,57,FC,120000000,0,1,47,12,999,0,1
10000189,57,FC,120000000,0,2,49,12,999,0,1
10000190,57,FC,119000000,0,1,21,12,999,0,1
10000191,57,FC,116000000,0,2,36,12,999,0,1
10000192,57,FC,115000000,0,1,23,12,999,0,1
10000193,57,FC,115000000,0,1,23,12,999,0,1
10000194,57,FC,115000000,0,2,38,12,999,0,1
10000195,57,FC,115000000,0,2,42,12,999,0,1
10000196,57,FC,115000000,0,2,44,12,999,0,1
10000197,57,FC,115000000,0,2,57,12,999,0,1
10000198,57,FC,114000000,0,1,35,12,999,0,1
10000199,57,FC,114000000,0,2,41,12,999,0,1
10000200,57,FC,112000000,0,1,37,12,999,0,1
10000201,57,FC,112000000,0,2,38,12,999,0,1
10000202,57,FC,112000000,0,2,45,12,999,0,1
10000203,57,FC,110000000,0,1,24,12,999,0,1
10000204,57,FC,110000000,0,1,24,12,999,0,1
10000205,57,FC,110000000,0,1,26,12,999,0,1
10000206,57,FC,110000000,0,1,37,12,999,0,1
10000207,57,FC,110000000,0,2,37,12,999,0,1
10000208,57,FC,110000000,0,1,38,12,999,0,1
10000209,57,FC,110000000,0,2,44,12,999,0,1
10000210,57,FC,110000000,0,2,45,12,999,0,1
10000211,57,FC,110000000,0,1,55,12,999,0,1
10000212,57,FC,110000000,0,1,56,12,999,0,1
10000213,57,FC,109000000,0,2,50,12,999,0,1
10000214,57,FC,108000000,0,1,38,12,999,0,1
10000215,57,FC,107000000,0,1,35,12,999,0,1
10000216,57,FC,105000000,0,2,47,12,999,0,1
10000217,57,FC,105000000,0,1,51,12,999,0,1
10000218,57,FC,105000000,0,2,56,12,999,0,1
10000219,57,FC,104000000,0,2,33,12,999,0,1
10000220,57,FC,103000000,0,2,42,12,999,0,1
10000221,57,FC,103000000,0,2,47,12,999,0,1
10000222,57,FC,102000000,0,2,44,12,999,0,1
10000223,57,FC,102000000,0,2,47,12,999,0,1
10000224,57,FC,100000000,0,2,19,12,999,0,1
10000225,57,FC,100000000,0,1,22,12,999,0,1
10000226,57,FC,100000000,0,1,24,12,999,0,1
10000227,57,FC,100000000,0,1,34,12,999,0,1
10000228,57,TFC,100000000,0,1,34,12,999,0,1
10000229,57,FC,100000000,0,2,37,12,999,0,1
10000230,57,TFC,100000000,0,2,41,12,999,0,1
10000231,57,FC,100000000,0,2,41,12,999,0,1
10000232,57,FC,100000000,0,1,42,12,999,0,1
10000233,57,FC,100000000,0,2,44,12,999,0,1
10000234,57,FC,100000000,0,1,46,12,999,0,1
10000235,57,AM,100000000,0,2,47,12,999,0,1
10000236,57,FC,100000000,0,2,48,12,999,0,1
10000237,57,FC,100000000,0,2,49,12,999,0,1
10000238,57,FC,100000000,0,1,50,12,999,0,1
10000239,57,AM,100000000,0,1,50,12,999,0,1
10000240,57,FC,100000000,0,1,50,12,999,0,1
10000241,57,FC,100000000,0,2,54,12,999,0,1
10000242,57,FC,100000000,0,1,59,12,999,0,1
10000243,57,FC,100000000,0,1,59,12,999,0,1
10000244,57,FC,98000000,0,2,35,12,999,0,1
10000245,57,TFC,98000000,0,2,35,12,999,0,1
10000246,57,FC,97000000,0,1,37,12,999,0,1
10000247,57,FC,96000000,0,2,46,12,999,0,1
10000248,57,FC,95000000,0,1,30,12,999,0,1
10000249,57,FC,95000000,0,2,36,12,999,0,1
10000250,57,TFC,95000000,0,2,36,12,999,0,1
10000251,57,FC,95000000,0,2,36,12,999,0,1
10000252,57,FC,95000000,0,1,37,12,999,0,1
10000253,57,FC,95000000,0,2,45,12,999,0,1
10000254,57,FC,94000000,0,2,31,12,999,0,1
10000255,57,FC,94000000,0,2,34,12,999,0,1
10000256,57,FC,94000000,0,2,41,12,999,0,1
10000257,57,FC,93000000,0,2,37,12,999,0,1
10000258,57,FC,92000000,0,2,37,12,999,0,1
10000259,57,FC,90000000,0,2,39,12,999,0,1
10000260,57,FC,90000000,0,2,40,12,999,0,1
10000261,57,FC,90000000,0,1,44,12,999,0,1
10000262,57,FC,90000000,0,1,46,12,999,0,1
10000263,57,FC,90000000,0,1,47,12,999,0,1
10000264,57,FC,90000000,0,1,47,12,999,0,1
10000265,57,FC,90000000,0,2,51,12,999,0,1
10000266,57,FC,89000000,0,2,15,12,999,0,1
10000267,57,FC,89000000,0,2,38,12,999,0,1
10000268,57,FC,88000000,0,2,52,12,999,0,1
10000269,57,FC,88000000,0,2,52,12,999,0,1
